topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,expected_security_exposure,total_security_cost,accepted,blocked,accepted_secure,blocked_secure
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,37,0.47,3.25,17.22222222222222,53,47,36,40
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,37,0.54,1.0,19.612903225806452,46,54,31,45
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,37,0.54,2.4375,21.357142857142858,46,54,28,48
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,35,0.57,0.625,13.090909090909092,43,57,22,45
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,35,0.57,0.6875,19.904761904761905,43,57,21,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,35,0.57,0.625,14.181818181818182,43,57,22,45
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,9,0.49,2.5625,13.777777777777779,51,49,27,46
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,9,0.53,0.5625,16.64,47,53,25,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,9,0.52,2.875,15.071428571428571,48,52,28,45
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,65,0.56,2.5625,16.857142857142858,44,56,21,44
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,65,0.56,0.3125,16.470588235294116,44,56,17,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,65,0.55,3.25,19.09090909090909,45,55,22,43
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,8.0,26,0.52,1.25,14.818181818181818,48,52,22,45
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,8.0,26,0.53,0.625,24.0,47,53,21,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,8.0,26,0.47,1.375,14.88888888888889,53,47,27,40
